OGA_ID	sample_ID	station	depth	size fraction	latitude	longitude	OGA_ID	Station	ENA_ID	INSDC_ID	BioSamples_ID	Sample_method	Depth_Nominal	Environmental_feature	Fraction_Lower (µm)	Fraction_Upper (µm)	Biome	Region	Province	Barcode	Date_Time	Seafloor (m)	Temperature (°C)	Salinity (PSU)	Density (kg/m**3)	Distance_coast (km)	Chlorophyll_A (mg/m**3)	Depth (m)	PAR (mol quanta/m**2/day)	O2 (µmol/kg)	NO3 (µmol/l)	Iron_5m* (µmol/l)	Ammonium_5m* (µmol/l)	Nitrite_5m* (µmol/l)	Nitrate_5m* (µmol/l)	CDOM* (ppb (QSE))	NPP_C* (mg/m**2/day)	POC* (µg/kg)	PIC* (mol/m3)	Alkalinity (µmol/kg)	Carbon Total (µmol/kg)	CO2 (µmol/kg)	CO3 (µmol/kg)	HCO3 (µmol/kg)	pH (-)	NO2 (µmol/l)	PO4 (µmol/l)	NO3_NO2 (µmol/l)	Si (µmol/l)	MLD (m)	DCM (m)	Depth_max_Brunt_Väisälä_freq (m)	Depth_max_O2 (m)	Depth_min_O2 (m)	Depth_nitracline (m)	Shannon_Darwin* (-)	Shannon_Physat* (-)	miTAG_SILVA_Chao (-)	miTAG_SILVA_Shannon (-)	OG_Richness (-)	OG_Evenness (-)	Chlorophyll c3 (mg/m**3)	Peridinin (mg/m**3)	Fucoxanthin (mg/m**3)	Prasinoxanthin (mg/m**3)	19-Hexanoyloxyfucoxanthin (mg/m**3)	Alloxanthin (mg/m**3)	Zeaxanthin (mg/m**3)	Lutein (mg/m**3)	Latitude (-)	Longitude (-)	Sea_ice* (%)	Season	Season_subperiod	Okubo-Weiss* (-)	Lyapunov* (l/day)	Residence_time* (days)
1	TARA_X100000009	TARA_011	SRF	[0.22-3µm]	41.6686	2.7996	TARA_011_SRF_0.22-1.6	TARA_011	ERS1092158	ERR1336911|ERR1336912	SAMEA3905024	SEQ-(10L-or-15min)_W0.22-1.6	SRF	[SRF] surface water layer (ENVO:00010504)	0.22	1.6	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	TARA_X100000009	2009-10-04T08:30							9				0.001387775	0.009132409	0.031807316	0.024274436			43.020175933838	1.9999999494757E-5																															41.6686	2.7996	0	unknown	unknown		0	0
2	TARA_A200000327	TARA_015	SRF	[0.22-3µm]	40.0154	13.9069	TARA_015_SRF_0.22-1.6	TARA_015	ERS488291		SAMEA2619639	SEQ-(10L-or-15min)_W0.22-1.6	SRF	[SRF] surface water layer (ENVO:00010504)	0.22	1.6	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	TARA_A200000327	2009-10-26T12:25	-2049	20.0737	37.851	26.918825	30.1662	0.132	5	16.970378	246.40525		0.001387889	0.008718667	0.041599671	0.037703255			53.87455368042	0.00019380898447707							0	0.0638	0.0725	1.0288	33	58	43	33	167																40.0154	13.9069	0	autumn	middle	-0.093545		6.527778
3	TARA_A200000369	TARA_016	SRF	[0.22-3µm]	37.4956	15.4945	TARA_016_SRF_0.22-1.6	TARA_016	ERS488299		SAMEA2619647	SEQ-(10L-or-15min)_W0.22-1.6	SRF	[SRF] surface water layer (ENVO:00010504)	0.22	1.6	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	TARA_A200000369	2009-10-27T08:22	-2049	20.858567	38.144833	26.929367	30.1662	0.0172	5	17.807575	208.725167		0.001387897	0.004815927	0.040637217	0.048262811			57.618392944336	0.00024921861768234	0.0002	0.00305		0.00665	0		0.016565	0.02835	0.037	0.6661	33	58	43	33	167		0.534649	0.516068					0.00575	0.0011	0.00305	0	0.0151	0	0.0213	0	37.4956	15.4945	0	autumn	middle	-0.010883		3.888889
4	TARA_A100000165	TARA_018	SRF	[0.22-3µm]	35.759	14.2574	TARA_018_SRF_0.22-1.6	TARA_018	ERS488332		SAMEA2619669	SEQ-(10L-or-15min)_W0.22-1.6	SRF	[SRF] surface water layer (ENVO:00010504)	0.22	1.6	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	TARA_A100000165	2009-11-02T08:13	-793	21.48665	37.89575	26.565263	13.8783	0.0018	5	19.262582	208.245		0.001387895	0.009119561	0.030015622	0.010272223		315.859	43.042594909668	8.8988130301004E-5	0.001	0.0103		0.0228	0		0.01833	0.0256	0.118	0.5571	51	80	61	60	221			0.455844					0.0053	0.0033	0.0103	0	0.0428	0.0006	0.0541	0	35.759	14.2574	0	autumn	middle	-0.124391	0.066158	15.222222
5	TARA_A100000220	TARA_019	SRF	[0.22-3µm]	34.2116	13.7684	TARA_019_SRF_0.22-1.6	TARA_019	ERS488364		SAMEA2619691	SEQ-(10L-or-15min)_W0.22-1.6	SRF	[SRF] surface water layer (ENVO:00010504)	0.22	1.6	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	TARA_A100000220	2009-11-11T16:24	-276	21.8213	38.414625	26.866075	151.794	0.0219	5	18.974832	233.87875		0.001388003	0.008395728	0.041924127	0.016256014			38.748195648193	0.00010775588452816											60	102	70	77	14		0.603047	0.43849													34.2116	13.7684	0	autumn	middle	0.007018	0.078478	1.777778
6	TARA_S200002603	TARA_022	DCM	[0.22-3µm]	39.5705	17.4101	TARA_022_DCM_0.22-1.6	TARA_022	ERS488456		SAMEA2619750	SEQ-(10L-or-15min)_W0.22-1.6	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	0.22	1.6	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	TARA_S200002603	2009-11-16T14:53	-1728	16.974267	37.963867	27.797967	49.6822	0.0892	30	0.583875	221.551583		0.001388038	0.001792418	0.026501298	0.063348597					0.0032	0.0587		0.07465	0.0082		0.025075	0.010725	0.029	1.59855	37	13	59	13	707		0.321338	0.536506					0.0603	0.01235	0.0587	0.0059	0.22345	0.0052	0.09495	0	39.5705	17.4101	0	autumn	middle	0.054261	0	0
7	TARA_E500000176	TARA_025	DCM	[0.22-3µm]	39.3991	19.3997	TARA_025_DCM_0.22-1.6	TARA_025	ERS488511		SAMEA2619784	SEQ-(10L-or-15min)_W0.22-1.6	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	0.22	1.6	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	TARA_E500000176	2009-11-23T13:52	-1274	15.181967	38.489083	28.626442	38.5477	0.06	50	0.04793	229.908917		0.001387952	0.002326648	0.028696594	0.048666991		420.545	72.959285736084	0.00013645339640789							0.1055		0.3595	1.354	31	47	44	39	785		0.276219	0.500541													39.3991	19.3997	0	autumn	late	0.369749	0	0
8	TARA_A100001401	TARA_031	SRF	[0.22-3µm]	27.16	34.835	TARA_031_SRF_0.22-1.6	TARA_031	ERS488547		SAMEA2619804	SEQ-(10L-or-15min)_W0.22-1.6	SRF	[SRF] surface water layer (ENVO:00010504)	0.22	1.6	Coastal Biome	[RS] Red Sea (MRGID:4264)	[REDS] Red Sea, Persian Gulf Province (MRGID:21474)	TARA_A100001401	2010-01-09T07:15	-1019	25.0281	39.96035	27.086225	71.862	0	5	20.015134	189.91675	0	0.001387113	0.011221905	0.040771591	0.284178823	2.20208	338.461	42.803701400757	8.2300386566203E-5	0	0.00475	10.150114	0.0044	0	8.086712	0.00925	0.01225	0.036	0.8825	53	80	89	60	293	160	0.518846	0.457792					0.00615	0.00205	0.00475	0	0.0179	0	0.13445	0	27.16	34.835	0	winter	early	0.162621	0.028165	1.194444
9	TARA_A100001026	TARA_032	SRF	[0.22-3µm]	23.36	37.2183	TARA_032_SRF_0.22-1.6	TARA_032	ERS488573		SAMEA2619822	SEQ-(10L-or-15min)_W0.22-1.6	SRF	[SRF] surface water layer (ENVO:00010504)	0.22	1.6	Coastal Biome	[RS] Red Sea (MRGID:4264)	[REDS] Red Sea, Persian Gulf Province (MRGID:21474)	TARA_A100001026	2010-01-11T07:21	-1010	25.811708	39.7709	26.698217	88.3462	0.0024	5	21.787103	188.341917	0.279747	0.001387787	0.020147547	0.010496082	0.00528441	1.94753	330.698	46.908721923828	0.00016270108608296	0	0.00435	19.33961	0.00405	0	7.845202	0.01075	0.00875	0	0.8775	104	78	170	13	216	208	0.492752	0.522515					0.00595	0.00195	0.00435	0	0.01545	0	0.1032	0	23.36	37.2183	0	winter	early	-0.014886		0
10	TARA_A100001195	TARA_033	SRF	[0.22-3µm]	21.9467	38.2517	TARA_033_SRF_0.22-1.6	TARA_033	ERS488625		SAMEA2619861	SEQ-(10L-or-15min)_W0.22-1.6	SRF	[SRF] surface water layer (ENVO:00010504)	0.22	1.6	Coastal Biome	[RS] Red Sea (MRGID:4264)	[REDS] Red Sea, Persian Gulf Province (MRGID:21474)	TARA_A100001195	2010-01-13T07:16	-987	27.3097	38.9435	25.59125	61.5397	0.0369	5	14.642101	183.589125	0.253501	0.001387791	0.01949049	0.006877633	0.006859351	1.35803	466.189	63.108032226562	0.00012500926823122	0.0019	0.007	20.838036	0.00775	0	7.80708	0.003	0.04575	0.006	1.12025	56	30	77	45	153	153	0.501863	0.528461	2993.087996	6.469166693	13578.1	0.752880222	0.01355	0.0019	0.007	0.00305	0.03885	0.00295	0.20015	0	21.9467	38.2517	0	winter	early	0.450777	0	0
